quarter,period_end,acquisition_phase,total_net_revenue_m,net_income_m,diluted_eps,adjusted_eps,non_interest_expense_m,provision_credit_losses_m,net_interest_margin_pct,efficiency_ratio_pct,credit_card_loans_m,net_charge_off_rate_pct,delinquency_30_plus_pct,discover_integration_expense_m,discover_amortization_expense_m,marketing_expense_m,operating_expense_m,source_name,source_url,notes
2026 Q1,2026-03-31,Post-Discover,15231,2174,3.34,4.42,8464,4068,7.87,55.57,270558,3.45,3.24,415,477,1497,6967,Capital One Q1 2026 Financial Supplement,https://investor.capitalone.com/static-files/63e07fa4-c440-4f70-b5e0-e02380962c8a,Tables 1 2 7 and 15
2025 Q4,2025-12-31,Post-Discover,15583,2134,3.26,3.86,9342,4142,8.26,59.95,279570,3.45,3.59,352,546,1934,7408,Capital One Q1 2026 Financial Supplement,https://investor.capitalone.com/static-files/63e07fa4-c440-4f70-b5e0-e02380962c8a,Tables 1 2 7 and 15
2025 Q3,2025-09-30,Post-Discover,15359,3192,4.83,5.95,8263,2714,8.36,53.80,271037,3.16,3.50,348,603,1403,6860,Capital One Q1 2026 Financial Supplement,https://investor.capitalone.com/static-files/63e07fa4-c440-4f70-b5e0-e02380962c8a,Tables 1 2 7 and 15
2025 Q2,2025-06-30,Transition,12492,-4277,-8.58,5.48,6991,11430,7.62,55.96,269709,3.24,3.32,299,340,1345,5646,Capital One Q1 2026 Financial Supplement,https://investor.capitalone.com/static-files/63e07fa4-c440-4f70-b5e0-e02380962c8a,Tables 1 2 7 and 15
2025 Q1,2025-03-31,Pre-Discover,10000,1404,3.45,4.06,5902,2369,6.93,59.02,157189,3.40,3.51,110,0,1202,4700,Capital One Q1 2026 Financial Supplement,https://investor.capitalone.com/static-files/63e07fa4-c440-4f70-b5e0-e02380962c8a,Tables 1 2 7 and 15 pre close integration expense disclosed
